,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female, 160 ," 1,488 "," 4,276 "," 3,933 "," 3,934 "," 3,833 "," 4,141 "," 4,688 "," 4,699 "," 5,316 "," 4,792 "," 4,531 "," 11,223 "," 57,014 ",,,,,,,,,,,,,,,,,
Male, 149 ," 1,463 "," 4,244 "," 3,963 "," 3,779 "," 3,587 "," 3,962 "," 4,367 "," 4,505 "," 4,913 "," 4,892 "," 4,517 "," 9,415 "," 53,756 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,
Newcastle, 293 ," 2,707 "," 11,444 "," 11,452 "," 10,341 "," 9,464 "," 9,274 "," 9,595 "," 9,174 "," 9,460 "," 8,421 "," 7,028 "," 16,082 "," 114,735 ",,,,,,,,,,,,,,,,,
Female, 145 ," 1,334 "," 5,723 "," 5,519 "," 5,050 "," 4,707 "," 4,680 "," 4,872 "," 4,690 "," 4,848 "," 4,262 "," 3,571 "," 9,103 "," 58,504 ",,,,,,,,,,,,,,,,,
Male, 148 ," 1,373 "," 5,720 "," 5,933 "," 5,291 "," 4,757 "," 4,594 "," 4,723 "," 4,484 "," 4,612 "," 4,159 "," 3,457 "," 6,979 "," 56,230 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 ,,,,,,,,,,,,,,,,,
North Sydney, 316 ," 2,041 "," 6,885 "," 8,859 "," 10,639 "," 11,094 "," 10,462 "," 9,875 "," 8,826 "," 8,320 "," 7,519 "," 6,972 "," 15,474 "," 107,282 ",,,,,,,,,,,,,,,,,
Female, 165 , 987 ," 3,439 "," 4,534 "," 5,441 "," 5,658 "," 5,337 "," 5,192 "," 4,558 "," 4,368 "," 4,009 "," 3,715 "," 8,678 "," 56,081 ",,,,,,,,,,,,,,,,,
Male, 151 ," 1,054 "," 3,445 "," 4,325 "," 5,197 "," 5,435 "," 5,124 "," 4,683 "," 4,268 "," 3,952 "," 3,510 "," 3,257 "," 6,795 "," 51,196 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , 1 , 1 , 1 , - , - , - , - , - , 1 , 5 ,,,,,,,,,,,,,,,,,
Page, 240 ," 2,940 "," 7,584 "," 6,929 "," 7,025 "," 7,669 "," 8,714 "," 9,812 "," 10,393 "," 12,104 "," 12,086 "," 10,960 "," 22,654 "," 119,110 ",,,,,,,,,,,,,,,,,
Female, 139 ," 1,481 "," 3,694 "," 3,497 "," 3,563 "," 3,990 "," 4,513 "," 5,097 "," 5,304 "," 6,215 "," 6,083 "," 5,384 "," 12,074 "," 61,034 ",,,,,,,,,,,,,,,,,
Male, 101 ," 1,457 "," 3,890 "," 3,429 "," 3,462 "," 3,679 "," 4,201 "," 4,715 "," 5,089 "," 5,889 "," 6,003 "," 5,576 "," 10,580 "," 58,071 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 2 , - , 3 , - , - , - , - , - , - , - , - , - , 5 ,,,,,,,,,,,,,,,,,
Parkes, 211 ," 2,564 "," 8,627 "," 9,016 "," 8,397 "," 7,663 "," 7,989 "," 9,008 "," 9,265 "," 10,183 "," 9,015 "," 8,060 "," 18,469 "," 108,467 ",,,,,,,,,,,,,,,,,
Female, 116 ," 1,240 "," 4,313 "," 4,583 "," 4,362 "," 3,937 "," 4,047 "," 4,500 "," 4,660 "," 5,004 "," 4,367 "," 3,875 "," 9,840 "," 54,844 ",,,,,,,,,,,,,,,,,
Male, 95 ," 1,324 "," 4,312 "," 4,432 "," 4,035 "," 3,726 "," 3,942 "," 4,508 "," 4,605 "," 5,179 "," 4,648 "," 4,185 "," 8,629 "," 53,620 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 2 , 1 , - , - , - , - , - , - , - , - , - , 3 ,,,,,,,,,,,,,,,,,
Parramatta, 280 ," 2,466 "," 8,075 "," 8,860 "," 11,582 "," 11,155 "," 9,732 "," 8,899 "," 8,418 "," 8,095 "," 6,891 "," 5,569 "," 12,362 "," 102,384 ",,,,,,,,,,,,,,,,,
Female, 148 ," 1,235 "," 3,982 "," 4,394 "," 5,605 "," 5,229 "," 4,696 "," 4,437 "," 4,209 "," 4,035 "," 3,486 "," 2,785 "," 6,713 "," 50,954 ",,,,,,,,,,,,,,,,,
Male, 132 ," 1,231 "," 4,093 "," 4,466 "," 5,977 "," 5,925 "," 5,035 "," 4,462 "," 4,209 "," 4,059 "," 3,404 "," 2,784 "," 5,649 "," 51,426 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , 1 , 1 , - , - , 1 , 1 , - , - , 4 ,,,,,,,,,,,,,,,,,
Paterson, 291 ," 2,977 "," 9,217 "," 9,557 "," 9,388 "," 9,036 "," 9,380 "," 9,699 "," 9,366 "," 9,864 "," 9,345 "," 9,148 "," 19,409 "," 116,677 ",,,,,,,,,,,,,,,,,
Female, 158 ," 1,492 "," 4,627 "," 4,791 "," 4,684 "," 4,497 "," 4,661 "," 4,897 "," 4,724 "," 5,126 "," 4,848 "," 4,787 "," 10,429 "," 59,721 ",,,,,,,,,,,,,,,,,
Male, 133 ," 1,485 "," 4,589 "," 4,766 "," 4,704 "," 4,539 "," 4,719 "," 4,801 "," 4,642 "," 4,738 "," 4,497 "," 4,361 "," 8,980 "," 56,954 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , 1 , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Reid, 279 ," 2,275 "," 7,880 "," 9,193 "," 10,985 "," 10,175 "," 9,687 "," 9,414 "," 9,037 "," 8,736 "," 7,440 "," 6,420 "," 14,661 "," 106,182 ",,,,,,,,,,,,,,,,,
Female, 157 ," 1,144 "," 3,980 "," 4,457 "," 5,394 "," 5,061 "," 4,961 "," 4,970 "," 4,724 "," 4,537 "," 3,885 "," 3,391 "," 8,086 "," 54,747 ",,,,,,,,,,,,,,,,,
Male, 122 ," 1,131 "," 3,900 "," 4,736 "," 5,591 "," 5,113 "," 4,725 "," 4,444 "," 4,313 "," 4,199 "," 3,555 "," 3,028 "," 6,574 "," 51,431 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , 1 , 1 , - , - , - , - , 1 , 1 , 4 ,,,,,,,,,,,,,,,,,
Richmond, 216 ," 2,282 "," 6,364 "," 5,959 "," 6,747 "," 7,503 "," 8,708 "," 9,720 "," 9,698 "," 11,230 "," 11,063 "," 10,542 "," 23,832 "," 113,864 ",,,,,,,,,,,,,,,,,
Female, 105 ," 1,119 "," 3,155 "," 3,023 "," 3,503 "," 3,988 "," 4,586 "," 5,219 "," 5,103 "," 5,967 "," 5,805 "," 5,292 "," 12,984 "," 59,849 ",,,,,,,,,,,,,,,,,
Male, 111 ," 1,163 "," 3,207 "," 2,936 "," 3,244 "," 3,515 "," 4,122 "," 4,501 "," 4,595 "," 5,263 "," 5,258 "," 5,249 "," 10,848 "," 54,012 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 2 , - , - , - , - , - , - , - , - , 1 , - , 3 ,,,,,,,,,,,,,,,,,
Riverina, 331 ," 2,950 "," 9,411 "," 8,520 "," 8,043 "," 7,911 "," 8,282 "," 9,086 "," 9,230 "," 10,058 "," 9,271 "," 8,970 "," 20,682 "," 112,745 ",,,,,,,,,,,,,,,,,
Female, 187 ," 1,498 "," 4,727 "," 4,304 "," 4,111 "," 4,005 "," 4,231 "," 4,659 "," 4,610 "," 5,069 "," 4,600 "," 4,456 "," 11,239 "," 57,696 ",,,,,,,,,,,,,,,,,
Male, 144 ," 1,452 "," 4,683 "," 4,216 "," 3,932 "," 3,906 "," 4,051 "," 4,427 "," 4,620 "," 4,988 "," 4,671 "," 4,514 "," 9,443 "," 55,047 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , 1 , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Robertson, 216 ," 2,729 "," 8,178 "," 7,520 "," 7,362 "," 7,587 "," 8,348 "," 9,092 "," 9,155 "," 9,738 "," 9,113 "," 8,682 "," 21,897 "," 109,617 ",,,,,,,,,,,,,,,,,
Female, 116 ," 1,415 "," 4,002 "," 3,638 "," 3,663 "," 3,933 "," 4,235 "," 4,734 "," 4,749 "," 5,119 "," 4,801 "," 4,624 "," 12,203 "," 57,232 ",,,,,,,,,,,,,,,,,
Male, 100 ," 1,314 "," 4,175 "," 3,881 "," 3,699 "," 3,654 "," 4,113 "," 4,357 "," 4,406 "," 4,619 "," 4,312 "," 4,058 "," 9,694 "," 52,382 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , 1 , - , - , - , 1 , - , - , - , - , - , 3 ,,,,,,,,,,,,,,,,,
Shortland, 332 ," 2,833 "," 8,612 "," 7,629 "," 8,106 "," 7,911 "," 8,410 "," 9,544 "," 9,152 "," 9,827 "," 9,255 "," 8,679 "," 21,624 "," 111,914 ",,,,,,,,,,,,,,,,,
Female, 161 ," 1,402 "," 4,190 "," 3,805 "," 4,059 "," 4,028 "," 4,271 "," 4,850 "," 4,725 "," 5,028 "," 4,819 "," 4,621 "," 11,925 "," 57,884 ",,,,,,,,,,,,,,,,,
Male, 171 ," 1,431 "," 4,422 "," 3,823 "," 4,047 "," 3,883 "," 4,139 "," 4,694 "," 4,427 "," 4,799 "," 4,436 "," 4,058 "," 9,698 "," 54,028 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , 1 , - , - , - , - , - , - , - , - , 1 , 2 ,,,,,,,,,,,,,,,,,
Sydney, 92 ," 1,033 "," 7,062 "," 15,323 "," 17,409 "," 14,512 "," 10,811 "," 9,560 "," 7,927 "," 7,301 "," 6,161 "," 5,116 "," 9,198 "," 111,505 ",,,,,,,,,,,,,,,,,
Female, 65 , 574 ," 3,762 "," 7,511 "," 8,087 "," 6,332 "," 4,567 "," 4,026 "," 3,387 "," 3,296 "," 2,980 "," 2,453 "," 4,685 "," 51,725 ",,,,,,,,,,,,,,,,,
Male, 27 , 459 ," 3,295 "," 7,809 "," 9,319 "," 8,175 "," 6,241 "," 5,529 "," 4,534 "," 3,999 "," 3,180 "," 2,662 "," 4,513 "," 59,742 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 5 , 3 , 3 , 5 , 3 , 5 , 6 , 6 , 1 , 1 , - , 38 ,,,,,,,,,,,,,,,,,
Warringah, 332 ," 2,397 "," 6,703 "," 7,219 "," 8,429 "," 9,807 "," 10,655 "," 10,666 "," 9,426 "," 8,458 "," 7,058 "," 6,458 "," 15,490 "," 103,098 ",,,,,,,,,,,,,,,,,
Female, 186 ," 1,218 "," 3,314 "," 3,667 "," 4,385 "," 5,068 "," 5,489 "," 5,529 "," 4,895 "," 4,298 "," 3,641 "," 3,434 "," 8,668 "," 53,792 ",,,,,,,,,,,,,,,,,
Male, 146 ," 1,179 "," 3,389 "," 3,551 "," 4,044 "," 4,739 "," 5,166 "," 5,137 "," 4,531 "," 4,160 "," 3,417 "," 3,024 "," 6,822 "," 49,305 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , 1 , - , - , - , - , - , - , - , - , - , 1 ,,,,,,,,,,,,,,,,,
Watson, 314 ," 2,808 "," 9,211 "," 8,871 "," 9,827 "," 9,811 "," 9,301 "," 9,427 "," 9,475 "," 8,692 "," 7,536 "," 6,269 "," 15,093 "," 106,635 ",,,,,,,,,,,,,,,,,
Female, 160 ," 1,404 "," 4,506 "," 4,513 "," 4,892 "," 4,814 "," 4,665 "," 4,857 "," 4,648 "," 4,378 "," 3,858 "," 3,170 "," 8,061 "," 53,926 ",,,,,,,,,,,,,,,,,
Male, 154 ," 1,404 "," 4,705 "," 4,357 "," 4,935 "," 4,997 "," 4,636 "," 4,570 "," 4,827 "," 4,314 "," 3,677 "," 3,099 "," 7,032 "," 52,707 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , 1 , - , - , - , - , - , - , 1 , - , - , 2 ,,,,,,,,,,,,,,,,,
Wentworth, 254 ," 1,767 "," 5,920 "," 9,398 "," 11,722 "," 11,543 "," 10,266 "," 9,578 "," 7,900 "," 7,458 "," 6,405 "," 6,362 "," 14,805 "," 103,378 ",,,,,,,,,,,,,,,,,
Female, 128 , 876 ," 3,088 "," 5,120 "," 6,161 "," 5,762 "," 5,152 "," 4,800 "," 3,941 "," 3,792 "," 3,351 "," 3,333 "," 8,315 "," 53,819 ",,,,,,,,,,,,,,,,,
Male, 126 , 889 ," 2,828 "," 4,276 "," 5,557 "," 5,779 "," 5,111 "," 4,778 "," 3,958 "," 3,666 "," 3,053 "," 3,028 "," 6,487 "," 49,536 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 2 , 4 , 2 , 4 , 2 , 3 , - , 1 , - , 1 , 1 , 3 , 23 ,,,,,,,,,,,,,,,,,
Werriwa, 396 ," 3,681 "," 11,406 "," 10,256 "," 10,457 "," 10,706 "," 10,633 "," 10,720 "," 10,498 "," 9,708 "," 7,692 "," 6,016 "," 10,602 "," 112,771 ",,,,,,,,,,,,,,,,,
Female, 215 ," 1,784 "," 5,654 "," 5,233 "," 5,488 "," 5,544 "," 5,587 "," 5,529 "," 5,231 "," 4,877 "," 3,897 "," 3,011 "," 5,666 "," 57,716 ",,,,,,,,,,,,,,,,,
Male, 181 ," 1,897 "," 5,751 "," 5,023 "," 4,969 "," 5,162 "," 5,046 "," 5,191 "," 5,267 "," 4,831 "," 3,795 "," 3,005 "," 4,936 "," 55,054 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 ,,,,,,,,,,,,,,,,,
Whitlam, 370 ," 3,094 "," 9,125 "," 8,363 "," 8,490 "," 8,496 "," 9,107 "," 9,669 "," 9,624 "," 9,994 "," 9,074 "," 8,891 "," 20,995 "," 115,292 ",,,,,,,,,,,,,,,,,
Female, 193 ," 1,565 "," 4,553 "," 4,190 "," 4,274 "," 4,333 "," 4,645 "," 4,937 "," 4,940 "," 5,180 "," 4,800 "," 4,611 "," 11,449 "," 59,670 ",,,,,,,,,,,,,,,,,
Male, 177 ," 1,529 "," 4,572 "," 4,173 "," 4,216 "," 4,163 "," 4,462 "," 4,732 "," 4,684 "," 4,814 "," 4,274 "," 4,280 "," 9,546 "," 55,622 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,
 VIC ," 14,693 "," 89,040 "," 321,455 "," 334,590 "," 349,615 "," 343,299 "," 345,927 "," 366,544 "," 342,544 "," 339,132 "," 306,111 "," 277,138 "," 609,092 "," 4,039,180 ",,,,,,,,,,,,,,,,,
Aston, 378 ," 2,439 "," 8,788 "," 7,968 "," 7,520 "," 7,725 "," 7,800 "," 8,652 "," 8,686 "," 8,845 "," 7,827 "," 6,753 "," 12,902 "," 96,283 ",,,,,,,,,,,,,,,,,
Female, 191 ," 1,225 "," 4,382 "," 3,931 "," 3,671 "," 3,887 "," 3,995 "," 4,578 "," 4,541 "," 4,545 "," 4,073 "," 3,511 "," 7,080 "," 49,610 ",,,,,,,,,,,,,,,,,
Male, 187 ," 1,214 "," 4,403 "," 4,035 "," 3,849 "," 3,838 "," 3,804 "," 4,074 "," 4,145 "," 4,300 "," 3,754 "," 3,242 "," 5,822 "," 46,667 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 3 , 2 , - , - , 1 , - , - , - , - , - , - , 6 ,,,,,,,,,,,,,,,,,
Ballarat, 449 ," 2,648 "," 9,475 "," 8,972 "," 8,664 "," 8,711 "," 9,211 "," 10,114 "," 9,664 "," 9,984 "," 9,302 "," 8,801 "," 17,651 "," 113,646 ",,,,,,,,,,,,,,,,,
Female, 237 ," 1,315 "," 4,724 "," 4,475 "," 4,408 "," 4,550 "," 4,777 "," 5,281 "," 5,025 "," 5,172 "," 4,856 "," 4,551 "," 9,777 "," 59,148 ",,,,,,,,,,,,,,,,,
Male, 212 ," 1,332 "," 4,750 "," 4,497 "," 4,256 "," 4,161 "," 4,434 "," 4,833 "," 4,639 "," 4,811 "," 4,445 "," 4,250 "," 7,874 "," 54,494 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 1 , 1 , - , - , - , - , - , - , 1 , 1 , - , - , 4 ,,,,,,,,,,,,,,,,,
Batman, 290 ," 1,786 "," 7,927 "," 10,688 "," 11,702 "," 11,098 "," 10,715 "," 10,888 "," 8,908 "," 8,025 "," 6,743 "," 5,601 "," 15,473 "," 109,844 ",,,,,,,,,,,,,,,,,
Female, 144 , 924 ," 4,164 "," 5,629 "," 5,985 "," 5,813 "," 5,439 "," 5,578 "," 4,650 "," 4,158 "," 3,523 "," 2,983 "," 8,637 "," 57,627 ",,,,,,,,,,,,,,,,,
Male, 146 , 861 ," 3,757 "," 5,054 "," 5,709 "," 5,282 "," 5,273 "," 5,309 "," 4,258 "," 3,867 "," 3,218 "," 2,618 "," 6,836 "," 52,188 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 1 , 6 , 5 , 8 , 3 , 3 , 1 , - , - , 2 , - , - , 29 ,,,,,,,,,,,,,,,,,
Bendigo, 464 ," 2,532 "," 8,720 "," 8,281 "," 8,051 "," 7,979 "," 8,770 "," 9,460 "," 9,386 "," 9,999 "," 9,690 "," 9,082 "," 19,041 "," 111,455 ",,,,,,,,,,,,,,,,,
Female, 238 ," 1,293 "," 4,424 "," 4,179 "," 4,109 "," 4,137 "," 4,626 "," 4,899 "," 4,872 "," 5,208 "," 5,040 "," 4,665 "," 10,221 "," 57,911 ",,,,,,,,,,,,,,,,,
Male, 226 ," 1,239 "," 4,296 "," 4,102 "," 3,941 "," 3,842 "," 4,143 "," 4,561 "," 4,514 "," 4,791 "," 4,650 "," 4,417 "," 8,820 "," 53,542 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Bruce, 369 ," 2,194 "," 7,602 "," 7,256 "," 7,163 "," 7,154 "," 7,518 "," 8,131 "," 7,944 "," 7,948 "," 7,326 "," 7,086 "," 18,114 "," 95,805 ",,,,,,,,,,,,,,,,,
Female, 178 ," 1,054 "," 3,582 "," 3,355 "," 3,332 "," 3,406 "," 3,680 "," 4,109 "," 4,043 "," 4,062 "," 3,804 "," 3,780 "," 9,734 "," 48,119 ",,,,,,,,,,,,,,,,,
Male, 191 ," 1,140 "," 4,020 "," 3,900 "," 3,830 "," 3,747 "," 3,838 "," 4,022 "," 3,901 "," 3,886 "," 3,522 "," 3,306 "," 8,380 "," 47,683 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , 1 , 1 , 1 , - , - , - , - , - , - , - , 3 ,,,,,,,,,,,,,,,,,
Calwell, 511 ," 3,133 "," 10,955 "," 10,213 "," 9,604 "," 9,045 "," 9,214 "," 10,659 "," 10,836 "," 9,937 "," 8,230 "," 6,869 "," 12,583 "," 111,789 ",,,,,,,,,,,,,,,,,
Female, 286 ," 1,576 "," 5,411 "," 5,003 "," 4,785 "," 4,578 "," 4,713 "," 5,552 "," 5,554 "," 5,042 "," 4,128 "," 3,584 "," 6,460 "," 56,672 ",,,,,,,,,,,,,,,,,
Male, 225 ," 1,557 "," 5,542 "," 5,210 "," 4,819 "," 4,467 "," 4,501 "," 5,107 "," 5,282 "," 4,895 "," 4,102 "," 3,285 "," 6,122 "," 55,114 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 2 , - , - , - , - , - , - , - , - , - , 1 , 3 ,,,,,,,,,,,,,,,,,
Casey, 362 ," 2,419 "," 8,610 "," 8,774 "," 8,851 "," 8,288 "," 8,774 "," 9,660 "," 9,171 "," 9,232 "," 8,401 "," 7,578 "," 14,582 "," 104,702 ",,,,,,,,,,,,,,,,,
Female, 196 ," 1,174 "," 4,268 "," 4,352 "," 4,552 "," 4,205 "," 4,489 "," 5,057 "," 4,782 "," 4,745 "," 4,344 "," 4,022 "," 7,804 "," 53,990 ",,,,,,,,,,,,,,,,,
Male, 166 ," 1,245 "," 4,340 "," 4,422 "," 4,299 "," 4,083 "," 4,284 "," 4,603 "," 4,388 "," 4,487 "," 4,057 "," 3,556 "," 6,778 "," 50,708 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 2 , - , - , - , 1 , - , 1 , - , - , - , - , 4 ,,,,,,,,,,,,,,,,,
Chisholm, 372 ," 2,293 "," 8,361 "," 7,343 "," 7,310 "," 7,445 "," 7,886 "," 9,200 "," 8,341 "," 7,822 "," 6,691 "," 5,914 "," 18,552 "," 97,530 ",,,,,,,,,,,,,,,,,
Female, 202 ," 1,199 "," 4,180 "," 3,467 "," 3,412 "," 3,748 "," 3,972 "," 4,847 "," 4,250 "," 4,051 "," 3,565 "," 3,189 "," 10,705 "," 50,787 ",,,,,,,,,,,,,,,,,
Male, 170 ," 1,094 "," 4,179 "," 3,876 "," 3,898 "," 3,697 "," 3,914 "," 4,353 "," 4,091 "," 3,771 "," 3,126 "," 2,725 "," 7,847 "," 46,741 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 2 , - , - , - , - , - , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Corangamite, 428 ," 2,497 "," 8,574 "," 7,970 "," 8,722 "," 8,956 "," 9,735 "," 9,926 "," 9,119 "," 9,807 "," 9,840 "," 9,116 "," 18,947 "," 113,637 ",,,,,,,,,,,,,,,,,
Female, 219 ," 1,229 "," 4,255 "," 3,929 "," 4,519 "," 4,575 "," 4,985 "," 5,196 "," 4,778 "," 5,099 "," 5,055 "," 4,728 "," 10,370 "," 58,937 ",,,,,,,,,,,,,,,,,
Male, 209 ," 1,267 "," 4,319 "," 4,041 "," 4,202 "," 4,381 "," 4,750 "," 4,730 "," 4,341 "," 4,708 "," 4,784 "," 4,388 "," 8,577 "," 54,697 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 1 , - , - , 1 , - , - , - , - , - , 1 , - , - , 3 ,,,,,,,,,,,,,,,,,
Corio, 375 ," 2,424 "," 9,038 "," 8,984 "," 8,516 "," 8,004 "," 8,618 "," 9,158 "," 9,258 "," 9,450 "," 9,039 "," 8,554 "," 18,970 "," 110,388 ",,,,,,,,,,,,,,,,,
Female, 193 ," 1,238 "," 4,605 "," 4,634 "," 4,418 "," 4,097 "," 4,481 "," 4,755 "," 4,809 "," 5,023 "," 4,768 "," 4,500 "," 10,428 "," 57,949 ",,,,,,,,,,,,,,,,,
Male, 182 ," 1,183 "," 4,431 "," 4,350 "," 4,098 "," 3,907 "," 4,137 "," 4,403 "," 4,449 "," 4,427 "," 4,271 "," 4,054 "," 8,542 "," 52,434 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 3 , 2 , - , - , - , - , - , - , - , - , - , - , 5 ,,,,,,,,,,,,,,,,,
Deakin, 334 ," 2,174 "," 7,458 "," 7,257 "," 8,043 "," 8,557 "," 9,108 "," 9,331 "," 8,346 "," 7,774 "," 6,960 "," 6,573 "," 18,072 "," 99,987 ",,,,,,,,,,,,,,,,,
Female, 171 ," 1,113 "," 3,673 "," 3,584 "," 4,032 "," 4,322 "," 4,629 "," 4,861 "," 4,289 "," 4,010 "," 3,693 "," 3,634 "," 10,335 "," 52,346 ",,,,,,,,,,,,,,,,,
Male, 163 ," 1,060 "," 3,784 "," 3,672 "," 4,009 "," 4,235 "," 4,479 "," 4,470 "," 4,057 "," 3,764 "," 3,267 "," 2,939 "," 7,737 "," 47,636 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , 1 , 1 , 1 , 2 , - , - , - , - , - , - , - , - , 5 ,,,,,,,,,,,,,,,,,
Dunkley, 296 ," 2,261 "," 8,173 "," 8,021 "," 8,141 "," 8,102 "," 8,760 "," 9,560 "," 8,828 "," 9,026 "," 8,150 "," 7,934 "," 19,034 "," 106,286 ",,,,,,,,,,,,,,,,,
Female, 142 ," 1,132 "," 4,166 "," 3,990 "," 4,212 "," 4,187 "," 4,520 "," 4,962 "," 4,581 "," 4,762 "," 4,329 "," 4,308 "," 10,626 "," 55,917 ",,,,,,,,,,,,,,,,,
Male, 154 ," 1,129 "," 4,006 "," 4,030 "," 3,929 "," 3,915 "," 4,240 "," 4,598 "," 4,247 "," 4,264 "," 3,821 "," 3,626 "," 8,408 "," 50,367 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Flinders, 353 ," 2,334 "," 7,703 "," 7,533 "," 7,440 "," 7,663 "," 8,773 "," 10,092 "," 9,678 "," 10,485 "," 10,627 "," 10,811 "," 24,766 "," 118,258 ",,,,,,,,,,,,,,,,,
Female, 164 ," 1,174 "," 3,744 "," 3,820 "," 3,921 "," 3,947 "," 4,534 "," 5,265 "," 5,000 "," 5,423 "," 5,546 "," 5,625 "," 13,029 "," 61,192 ",,,,,,,,,,,,,,,,,
