"","X1","16-17","18-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+","TOTAL","16-24"
"1","Banks",36,294.444444444445,923.777777777778,894.888888888889,918.222222222223,953.666666666667,976.444444444445,1036.33333333333,1037,1045.44444444444,889.777777777778,759.777777777778,1909.77777777778,11675.5555555556,1254.22222222222
"2","Barton",14.0526315789474,122.473684210526,430.631578947368,474.263157894736,555.57894736842,528.052631578947,523.105263157894,523.473684210526,493.421052631578,447.315789473684,395.947368421052,352.473684210526,869.894736842104,5730.68421052631,567.157894736841
"3","Bennelong",42.4444444444445,287.111111111111,964,919.666666666667,992.777777777778,1049.22222222222,1012.11111111111,1054,1062.22222222222,995.777777777778,882.888888888889,736.888888888889,1773.77777777778,11772.8888888889,1293.55555555556
"4","Berowra",10.795918367347,68.3061224489797,191.142857142857,139.632653061225,120.040816326531,149.857142857143,187.204081632653,209.469387755102,207.102040816327,206.714285714286,174.612244897959,150.285714285714,332.979591836735,2148.14285714286,270.244897959184
"5","Blaxland",29.8888888888889,332.555555555556,1092.55555555556,1049.66666666667,1074.55555555556,1018.11111111111,979.222222222223,994.444444444445,979,981.888888888889,839.333333333334,689.888888888889,1556.77777777778,11617.8888888889,1455
"6","Bradfield",27.9473684210526,177.421052631579,456.421052631578,346.263157894736,338.157894736842,423.368421052631,484.684210526315,561.526315789473,531.947368421052,487.947368421052,391.947368421052,362.631578947368,992.999999999999,5583.26315789473,661.78947368421
"7","Calare",37.3333333333333,335.777777777778,995.444444444445,983.666666666667,973.666666666667,927.888888888889,993.666666666667,1101.44444444445,1079.22222222222,1154.33333333333,1035.11111111111,1004.55555555556,2185.22222222222,12807.3333333333,1368.55555555556
"8","Chifley",15.4736842105263,175.631578947368,579.368421052631,541.78947368421,561.263157894736,546.999999999999,505.57894736842,505.315789473684,472.631578947368,452.578947368421,386.578947368421,337.736842105263,585.947368421052,5666.8947368421,770.473684210526
"9","Cook",7.26530612244899,50.6530612244899,156.897959183674,159.469387755102,158.877551020408,163.469387755102,182.755102040817,197.632653061225,183.387755102041,181.551020408163,161.34693877551,147.34693877551,392.65306122449,2143.30612244898,214.816326530612
"10","Cowper",5.93877551020409,55.6938775510205,156.918367346939,149.795918367347,145.489795918368,147.979591836735,168.061224489796,193.428571428572,200.510204081633,235.183673469388,235.816326530613,231.428571428572,544.122448979592,2470.36734693878,218.551020408163
"11","Cunningham",17.6315789473684,153.947368421052,548.315789473684,492.105263157894,459.947368421052,457.999999999999,498.473684210526,501.57894736842,498.473684210526,510.473684210526,444.157894736842,386.263157894736,970.105263157894,5939.47368421052,719.894736842105
"12","Dobell",5.44897959183674,62.8163265306123,193.612244897959,179.204081632653,176.693877551021,175.081632653061,183.775510204082,199.489795918368,189.326530612245,196,181.224489795919,171.448979591837,420.081632653062,2334.20408163266,261.877551020408
"13","Eden-Monaro",5.51020408163266,50.2448979591837,142.204081632653,143.612244897959,153.081632653061,155.714285714286,181.204081632653,211.265306122449,209.408163265306,225.734693877551,211.897959183674,188.857142857143,364,2242.73469387755,197.95918367347
"14","Farrer",32.6666666666667,310.666666666667,961.333333333334,846.333333333334,823.444444444445,850.555555555556,924.666666666667,1028.33333333333,1060.88888888889,1182.88888888889,1111.66666666667,1040.66666666667,2428.88888888889,12603,1304.66666666667
"15","Fowler",35.2222222222222,303.777777777778,1109.33333333333,1009.88888888889,956.777777777778,924.666666666667,956.444444444445,1044.11111111111,1050.33333333333,1111.33333333333,984.333333333334,814.555555555556,1508.44444444445,11809.2222222222,1448.33333333333
"16","Gilmore",4.34693877551021,50.0204081632654,149.204081632653,138.387755102041,137.897959183674,137.020408163265,155.857142857143,176.612244897959,187.183673469388,232.979591836735,243.387755102041,251.877551020408,557.244897959184,2422.02040816327,203.571428571429
"17","Grayndler",2.9795918367347,29.1428571428572,145.285714285714,227.285714285715,246.938775510204,245.897959183674,233.979591836735,217.489795918368,180.95918367347,159.122448979592,134.448979591837,117.795918367347,232.142857142857,2173.4693877551,177.408163265306
"18","Greenway",18.7368421052631,160.421052631579,471.684210526315,457.631578947368,592.842105263157,682.526315789473,617.78947368421,540.315789473684,462.736842105263,431.894736842105,366.157894736842,306.578947368421,536.157894736842,5645.47368421052,650.842105263157
"19","Hughes",8.2857142857143,60.6122448979593,177.938775510204,168.714285714286,173.714285714286,188.265306122449,204.081632653061,205.897959183674,188.163265306123,186.469387755102,163.367346938776,138.95918367347,279.244897959184,2143.71428571429,246.836734693878
"20","Hume",7.81632653061225,63.6938775510205,183.795918367347,183.30612244898,188.142857142857,182.489795918368,199.142857142857,208.857142857143,197.061224489796,196.204081632653,175.142857142857,163.30612244898,308.795918367347,2257.75510204082,255.30612244898
"21","Hunter",17,162.368421052631,499.842105263157,494.578947368421,503.052631578947,469.315789473684,490.894736842105,525.105263157894,505.631578947368,535.421052631578,497.842105263157,463.842105263157,988.894736842104,6153.7894736842,679.210526315789
"22","Kingsford Smith",29.7777777777778,260.444444444445,931.888888888889,1073.33333333333,1174.22222222222,1206.44444444445,1165.33333333333,1130.88888888889,1011,921.222222222223,792.555555555556,709.888888888889,1815.55555555556,12222.5555555556,1222.11111111111
"23","Lindsay",34,348.333333333333,1215.88888888889,1268.33333333333,1306.44444444445,1210.66666666667,1163.88888888889,1091.33333333333,988.666666666667,993.444444444445,886.333333333334,795.888888888889,1362.77777777778,12666,1598.22222222222
"24","Lyne",5.59183673469388,50.8367346938776,130.979591836735,115.591836734694,117.30612244898,123.836734693878,149.775510204082,176.265306122449,189.448979591837,224.122448979592,234.938775510204,248.551020408164,563.530612244899,2330.77551020408,187.408163265306
"25","Macarthur",16.7368421052631,174.157894736842,569.736842105263,571.526315789473,591.894736842105,547.052631578947,515.631578947368,479.052631578947,472.315789473684,488.684210526315,431.105263157894,367.368421052631,565.263157894736,5790.52631578947,760.631578947368
"26","Mackellar",8.71428571428572,54.8163265306123,161.448979591837,137.265306122449,142.795918367347,170.632653061225,205.489795918368,219.775510204082,202.938775510204,194.224489795919,169.775510204082,158.265306122449,402.795918367347,2228.93877551021,224.979591836735
"27","Macquarie",5.89795918367348,57.4897959183674,173.408163265306,158.816326530612,155.65306122449,162.612244897959,181.918367346939,205.34693877551,193.775510204082,205.204081632653,184.632653061225,170.122448979592,315.102040816327,2169.97959183674,236.795918367347
"28","McMahon",34.5555555555556,330.666666666667,1104.77777777778,1086.44444444445,1071.22222222222,1072.33333333333,998.666666666667,1012,1024.33333333333,1025.66666666667,881.666666666667,768.111111111111,1507.77777777778,11918.2222222222,1470
"29","Mitchell",24.5263157894737,163.684210526316,468.78947368421,374.210526315789,406.684210526315,516.210526315789,575.894736842105,580.105263157894,495.578947368421,454.210526315789,397,363.368421052631,714.105263157894,5534.36842105263,656.999999999999
"30","New England",16.2631578947368,155.315789473684,448.421052631578,415.578947368421,405.947368421052,390.526315789473,426.473684210526,476.578947368421,484.421052631578,538.368421052631,509.684210526315,476.210526315789,1086.21052631579,5829.99999999999,619.999999999999
"31","Newcastle",15.4210526315789,142.473684210526,602.315789473684,602.736842105262,544.263157894736,498.105263157894,488.105263157894,504.999999999999,482.842105263157,497.894736842105,443.210526315789,369.894736842105,846.421052631578,6038.68421052631,760.210526315789
"32","North Sydney",35.1111111111111,226.777777777778,765,984.333333333334,1182.11111111111,1232.66666666667,1162.44444444445,1097.22222222222,980.666666666667,924.444444444445,835.444444444445,774.666666666667,1719.33333333333,11920.2222222222,1026.88888888889
"33","Page",4.89795918367347,60.0000000000001,154.775510204082,141.408163265306,143.367346938776,156.510204081633,177.836734693878,200.244897959184,212.102040816327,247.020408163266,246.65306122449,223.673469387755,462.326530612245,2430.81632653061,219.673469387755
"34","Parkes",23.4444444444445,284.888888888889,958.555555555556,1001.77777777778,933,851.444444444445,887.666666666667,1000.88888888889,1029.44444444444,1131.44444444445,1001.66666666667,895.555555555556,2052.11111111111,12051.8888888889,1266.88888888889
"35","Parramatta",49.4117647058824,435.176470588235,1425,1563.52941176471,2043.88235294118,1968.52941176471,1717.41176470588,1570.41176470588,1485.52941176471,1428.52941176471,1216.05882352941,982.764705882353,2181.52941176471,18067.7647058824,1909.58823529412
"36","Paterson",5.93877551020409,60.7551020408164,188.102040816327,195.040816326531,191.591836734694,184.408163265306,191.428571428572,197.938775510204,191.142857142857,201.30612244898,190.714285714286,186.693877551021,396.102040816327,2381.16326530613,254.795918367347
"37","Reid",31,252.777777777778,875.555555555556,1021.44444444444,1220.55555555556,1130.55555555556,1076.33333333333,1046,1004.11111111111,970.666666666667,826.666666666667,713.333333333334,1629,11798,1159.33333333333
"38","Richmond",4.40816326530613,46.5714285714286,129.877551020408,121.612244897959,137.693877551021,153.122448979592,177.714285714286,198.367346938776,197.918367346939,229.183673469388,225.775510204082,215.142857142857,486.367346938776,2323.75510204082,180.857142857143
"39","Riverina",17.4210526315789,155.263157894737,495.315789473684,448.421052631578,423.315789473684,416.368421052631,435.894736842105,478.210526315789,485.78947368421,529.368421052631,487.947368421052,472.105263157894,1088.52631578947,5933.94736842105,667.999999999999
"40","Robertson",4.40816326530613,55.6938775510205,166.897959183674,153.469387755102,150.244897959184,154.836734693878,170.367346938776,185.551020408163,186.836734693878,198.734693877551,185.979591836735,177.183673469388,446.877551020409,2237.08163265306,227
"41","Shortland",6.77551020408164,57.8163265306123,175.755102040817,155.693877551021,165.428571428572,161.448979591837,171.632653061225,194.775510204082,186.775510204082,200.551020408163,188.877551020408,177.122448979592,441.30612244898,2283.95918367347,240.34693877551
"42","Sydney",16.2352941176471,182.294117647059,1246.23529411765,2704.05882352941,3072.17647058824,2560.94117647059,1907.82352941177,1687.05882352941,1398.88235294118,1288.41176470588,1087.23529411765,902.823529411765,1623.17647058824,19677.3529411765,1444.76470588235
"43","Warringah",6.77551020408164,48.9183673469388,136.795918367347,147.326530612245,172.020408163266,200.142857142857,217.448979591837,217.673469387755,192.367346938776,172.612244897959,144.040816326531,131.795918367347,316.122448979592,2104.04081632653,192.489795918368
"44","Watson",16.5263157894737,147.78947368421,484.78947368421,466.894736842105,517.210526315789,516.368421052631,489.526315789473,496.157894736842,498.684210526315,457.473684210526,396.631578947368,329.947368421052,794.368421052631,5612.36842105263,649.105263157894
"45","Wentworth",28.2222222222222,196.333333333333,657.777777777778,1044.22222222222,1302.44444444445,1282.55555555556,1140.66666666667,1064.22222222222,877.777777777778,828.666666666667,711.666666666667,706.888888888889,1645,11486.4444444444,882.333333333334
"46","Werriwa",20.8421052631579,193.736842105263,600.315789473684,539.78947368421,550.368421052631,563.473684210526,559.631578947368,564.210526315789,552.526315789473,510.947368421052,404.842105263157,316.631578947368,557.999999999999,5935.31578947368,814.894736842104
"47","Whitlam",7.55102040816327,63.1428571428572,186.224489795919,170.673469387755,173.265306122449,173.387755102041,185.857142857143,197.326530612245,196.408163265306,203.95918367347,185.183673469388,181.448979591837,428.469387755103,2352.89795918368,256.918367346939
"48","Aston",7.71428571428572,49.7755102040817,179.34693877551,162.612244897959,153.469387755102,157.65306122449,159.183673469388,176.571428571429,177.265306122449,180.510204081633,159.734693877551,137.816326530612,263.30612244898,1964.95918367347,236.836734693878
"49","Ballarat",9.16326530612246,54.0408163265307,193.367346938776,183.102040816327,176.816326530612,177.775510204082,187.979591836735,206.408163265306,197.224489795919,203.755102040817,189.836734693878,179.612244897959,360.224489795919,2319.30612244898,256.571428571429
"50","Batman",32.2222222222222,198.444444444445,880.777777777778,1187.55555555556,1300.22222222222,1233.11111111111,1190.55555555556,1209.77777777778,989.777777777778,891.666666666667,749.222222222223,622.333333333334,1719.22222222222,12204.8888888889,1111.44444444445
"51","Bendigo",9.46938775510205,51.6734693877552,177.95918367347,169,164.30612244898,162.836734693878,178.979591836735,193.061224489796,191.551020408163,204.061224489796,197.755102040817,185.34693877551,388.591836734694,2274.5918367347,239.102040816327
"52","Bruce",41,243.777777777778,844.666666666667,806.222222222223,795.888888888889,794.888888888889,835.333333333334,903.444444444445,882.666666666667,883.111111111112,814,787.333333333334,2012.66666666667,10645,1129.44444444445
"53","Calwell",56.7777777777778,348.111111111111,1217.22222222222,1134.77777777778,1067.11111111111,1005,1023.77777777778,1184.33333333333,1204,1104.11111111111,914.444444444445,763.222222222223,1398.11111111111,12421,1622.11111111111
"54","Casey",7.38775510204082,49.3673469387756,175.714285714286,179.061224489796,180.632653061225,169.142857142857,179.061224489796,197.142857142857,187.163265306123,188.408163265306,171.448979591837,154.65306122449,297.591836734694,2136.77551020408,232.469387755102
"55","Chisholm",41.3333333333333,254.777777777778,929,815.888888888889,812.222222222223,827.222222222223,876.222222222223,1022.22222222222,926.777777777778,869.111111111112,743.444444444445,657.111111111111,2061.33333333333,10836.6666666667,1225.11111111111
"56","Corangamite",8.73469387755103,50.9591836734694,174.979591836735,162.65306122449,178,182.775510204082,198.673469387755,202.571428571429,186.102040816327,200.142857142857,200.816326530612,186.040816326531,386.673469387756,2319.12244897959,234.673469387755
"57","Corio",19.7368421052631,127.578947368421,475.684210526315,472.842105263157,448.210526315789,421.263157894736,453.578947368421,481.999999999999,487.263157894736,497.368421052631,475.736842105263,450.210526315789,998.421052631578,5809.8947368421,622.999999999999
"58","Deakin",37.1111111111111,241.555555555556,828.666666666667,806.333333333334,893.666666666667,950.777777777778,1012,1036.77777777778,927.333333333334,863.777777777778,773.333333333334,730.333333333334,2008,11109.6666666667,1107.33333333333
"59","Dunkley",6.04081632653062,46.1428571428572,166.795918367347,163.693877551021,166.142857142857,165.34693877551,178.775510204082,195.102040816327,180.163265306123,184.204081632653,166.326530612245,161.918367346939,388.448979591837,2169.10204081633,218.979591836735
"60","Flinders",7.20408163265307,47.6326530612245,157.204081632653,153.734693877551,151.836734693878,156.387755102041,179.040816326531,205.95918367347,197.510204081633,213.979591836735,216.877551020408,220.632653061225,505.428571428572,2413.42857142857,212.040816326531
"61","Gellibrand",31.4444444444445,211.111111111111,859.222222222223,1048.77777777778,1230.55555555556,1272.11111111111,1215.55555555556,1168.22222222222,1027.88888888889,980.666666666667,811,678.888888888889,1673.33333333333,12208.7777777778,1101.77777777778
"62","Gippsland",6.36734693877552,42.6122448979592,151.857142857143,149.142857142857,149.836734693878,140.95918367347,147.979591836735,167.163265306123,177.816326530612,204.408163265306,206.714285714286,201.142857142857,410.938775510205,2156.93877551021,200.836734693878
"63","Goldstein",11.0612244897959,50.6122448979592,160.877551020408,133.408163265306,133.510204081633,149.34693877551,187.34693877551,227.857142857143,208.95918367347,199.326530612245,173.408163265306,155.65306122449,376.95918367347,2168.32653061225,222.551020408164
"64","Gorton",51.1111111111111,331.333333333333,1162.22222222222,1208.55555555556,1420.11111111111,1525,1465.11111111111,1322.88888888889,1085.33333333333,1017.22222222222,928,792.666666666667,1100.22222222222,13409.7777777778,1544.66666666667
"65","Higgins",44.8888888888889,223.222222222222,910.222222222223,1239.55555555556,1222.11111111111,1025.77777777778,947.333333333334,1039.77777777778,931.333333333334,880.666666666667,766.666666666667,716.888888888889,1734.88888888889,11683.3333333333,1178.33333333333
"66","Holt",52.8888888888889,350.555555555556,1255.55555555556,1279,1462.33333333333,1429.44444444445,1259.55555555556,1239.11111111111,1137.33333333333,1095.88888888889,905.777777777778,733.333333333334,1275,13475.7777777778,1659
"67","Hotham",16.3684210526316,110.315789473684,395.368421052631,364.368421052631,403.421052631579,451.842105263157,476.263157894736,514.421052631578,457.631578947368,440.578947368421,384.631578947368,346.210526315789,920.157894736841,5281.57894736842,522.052631578947
"68","Indi",7.44897959183674,43.1428571428572,147.387755102041,139.469387755102,142.061224489796,143.571428571429,157.040816326531,183.591836734694,185.836734693878,211.489795918368,206.30612244898,190.204081632653,396.795918367347,2154.34693877551,197.979591836735
"69","Isaacs",19.2105263157895,124.578947368421,437.368421052631,425.368421052631,485.157894736842,510.631578947368,538.263157894736,560.052631578947,499.473684210526,468.999999999999,411.947368421052,365.263157894736,793.894736842104,5640.21052631578,581.157894736841
"70","Jagajaga",7.93877551020409,48.0816326530613,164.183673469388,159.285714285714,164.081632653061,176.673469387755,192.775510204082,198.204081632653,182.979591836735,187.122448979592,171.714285714286,148.571428571429,318.30612244898,2119.91836734694,220.204081632653
"71","Kooyong",57.7777777777778,289.111111111111,1047.11111111111,963.111111111112,799.111111111111,767.555555555556,839,1021,1023.33333333333,951.555555555556,843.111111111112,741,1819.11111111111,11161.8888888889,1394
"72","La Trobe",10.3673469387755,63.7551020408164,204.204081632653,175.142857142857,176.795918367347,197.040816326531,222.816326530612,237.163265306123,212.693877551021,197.673469387755,163.673469387755,137.530612244898,240.979591836735,2239.83673469388,278.326530612245
"73","Lalor",56.3333333333334,348.777777777778,1210.55555555556,1283.11111111111,1814.88888888889,1882.88888888889,1537.66666666667,1396.88888888889,1212.33333333333,1056,857.444444444445,693.666666666667,1140.55555555556,14491.1111111111,1615.66666666667
